attempts_on_target_from_inside_the_area,name,id,yellow_cards,fouls_suffered,role,attempts_inside_the_area,crosses_attempted,corners,distance_covered__km_,height,top_speed__km_h_,recovered_balls,country,penalties_scored,distance_covered_in_possession__km_,shots_blocked,fouls_causing_penalty,goals_scored_by_backheel,total_passes,short_passes_completed,age,attempts_outside_the_area,offsides,medium_passes_completed,red_cards,jerseynum,tackles_suffered,clearances,attempts_on_target,headed_goals,attempts_on_target_from_outside_the_area,international_goals,tackles,attempts,goals_scored_with_the_right_foot,blocks,lost_balls,attempts_off_target,save_rate,passes_completed,goals_scored,long_passes_completed,dribbles_into_penalty_area,international_caps,crosses_completed,tackles_won,shots_from_free_kick,goal_kicks_successfully_reaching_a_team_mate,throws,distance_covered_not_in_possession__km_,fouls_committed,deliveries_into_penalty_area,minutes_played,date_of_birth,goals_scored_with_the_left_foot,saves,matches_played,attempts_against_woodwork,assists
0,charlotte bilbault,296652,0,2,midfielder,0,0,0,10.5,169.0,0,0,france,0,0,0,0,0,66,0,29,0,0,0,0,14,0,2,0,0,0,1,1,1,0,0,0,1,0,52,0,0,0,18,0,0,0,0,0,0,0,0,98,1990-06-05 00:00:00,0,0,2,0,0
,julie debever,254844,,,defender,,,,,175.0,,,france,,,,,,,,31,,,,,22,,,,,,0,,,,,,,,,,,,3,,,,,,,,,,1988-04-18 00:00:00,,,,,
0,viviane asseyi,387169,0,9,forward,1,7,0,19.8,163.0,0,0,france,0,0,0,0,0,56,0,25,0,1,0,0,18,0,5,1,0,0,5,4,3,0,0,0,2,0,40,0,0,0,35,0,0,0,0,0,0,3,0,179,1993-11-20 00:00:00,0,0,3,0,0
,aissatou tounkara,358672,,,defender,,,,,174.0,,,france,,,,,,,,24,,,,,5,,,,,,0,,,,,,,,,,,,12,,,,,,,,,,1995-03-16 00:00:00,,,,,
5,eugenie le sommer,254849,1,7,forward,12,12,0,47.3,161.0,0,0,france,1,0,6,0,0,174,0,30,5,0,0,0,9,0,6,7,0,1,76,5,18,2,0,0,5,0,144,2,0,0,164,0,0,0,0,0,0,4,0,410,1989-05-18 00:00:00,0,0,5,0,1
,solene durand,381192,,,goalkeeper,,,,,171.0,,,france,,,,,,,,24,,,,,1,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,1994-11-20 00:00:00,,,,,
0,eve perisset,381203,0,1,defender,0,4,0,13.2,160.0,0,0,france,0,0,0,0,0,103,0,24,0,0,0,0,2,0,2,0,0,0,0,1,0,0,0,0,0,0,90,0,0,0,18,0,0,0,0,0,0,0,0,117,1994-12-24 00:00:00,0,0,3,0,0
0,amel majri,387218,0,7,defender,2,52,21,53.4,164.0,0,0,france,0,0,4,0,0,356,0,26,2,1,0,0,10,0,10,1,0,0,4,5,6,0,1,0,1,0,277,0,0,0,51,0,0,0,0,0,0,4,2,462,1993-01-25 00:00:00,0,0,5,0,3
1,amandine henry,254965,0,6,midfielder,4,12,0,53.9,171.0,0,0,france,0,0,4,0,0,234,0,29,9,2,0,0,6,0,9,4,0,3,13,7,16,1,1,0,8,0,196,2,0,0,88,0,0,1,0,0,0,7,0,480,1989-09-28 00:00:00,1,0,5,0,1
,pauline peyraud-magnin,324335,,,goalkeeper,,,,,175.0,,,france,,,,,,,,27,,,,,21,,,,,,0,,,,,,,,,,,,2,,,,,,,,,,1992-03-17 00:00:00,,,,,
3,wendie renard,302715,1,2,defender,4,1,0,46.8,187.0,0,0,france,1,0,0,0,0,291,0,28,0,0,0,0,3,0,16,4,3,0,24,5,7,0,1,0,3,0,267,4,0,0,114,0,0,0,0,0,0,4,0,480,1990-07-20 00:00:00,0,0,5,0,0
,maeva clemaron,420140,,,midfielder,,,,,166.0,,,france,,,,,,,,26,,,,,23,,,,,,1,,,,,,,,,,,,4,,,,,,,,,,1992-11-10 00:00:00,,,,,
0,gaetane thiney,328149,0,4,midfielder,3,27,21,45.3,169.0,0,0,france,0,0,4,0,0,157,0,33,1,1,0,0,17,0,3,0,0,0,58,2,9,0,0,0,5,0,111,0,0,0,161,0,0,0,0,0,0,6,0,386,1985-10-28 00:00:00,0,0,5,0,2
2,kadidiatou diani,358573,0,6,forward,5,16,0,44,168.0,0,0,france,0,0,4,0,0,102,0,24,6,1,0,0,11,0,6,2,0,0,10,4,12,0,0,0,6,0,65,0,0,0,52,0,0,0,0,0,0,4,0,418,1995-04-01 00:00:00,0,0,5,0,1
0,griedge mbock bathy,358667,1,2,defender,1,0,0,48.1,172.0,0,0,france,0,0,0,0,0,260,0,24,0,1,0,0,19,0,15,0,0,0,5,3,1,0,2,0,1,0,233,0,0,0,55,0,0,0,0,0,0,2,0,480,1995-02-26 00:00:00,0,0,5,0,0
0,elise bussaglia,190239,1,0,midfielder,0,5,0,44.1,163.0,0,0,france,0,0,2,0,0,199,0,33,4,0,0,0,15,0,4,0,0,0,30,4,4,0,0,0,2,0,161,0,0,0,192,0,0,0,0,0,0,2,0,390,1985-09-24 00:00:00,0,0,4,0,0
0,marion torrent,324336,0,7,defender,1,16,0,41.9,164.0,0,0,france,0,0,1,0,0,233,0,27,1,2,0,0,4,0,24,0,0,0,0,8,2,0,0,0,1,0,165,0,0,0,26,0,0,0,0,0,0,2,0,379,1992-04-17 00:00:00,0,0,4,0,0
,emelyne laurent,412947,,,forward,,,,,161.0,,,france,,,,,,,,20,,,,,12,,,,,,0,,,,,,,,,,,,5,,,,,,,,,,1998-11-04 00:00:00,,,,,
1,kadeisha buchanan,359180,2,7,defender,2,0,0,36.3,170.0,0,0,canada,0,0,1,0,0,209,0,23,0,0,0,0,3,0,6,1,1,0,4,5,2,0,1,0,0,0,184,1,0,0,92,0,0,0,0,0,0,2,0,360,1995-11-05 00:00:00,0,0,4,0,0
1,sophie schmidt,224525,0,2,midfielder,1,2,0,41.9,172.0,0,0,canada,0,0,2,0,0,260,0,31,3,1,0,0,13,0,4,1,0,0,19,4,4,0,0,0,1,0,207,0,0,0,188,0,0,1,0,0,0,2,0,360,1988-06-28 00:00:00,0,0,4,0,0
1,christine sinclair,190146,0,1,forward,9,1,0,38,176.0,0,0,canada,0,0,5,0,0,140,0,36,4,1,0,0,12,0,0,1,0,0,182,0,13,0,0,0,7,0,111,1,0,0,286,0,0,3,0,0,0,1,0,338,1983-06-12 00:00:00,1,0,4,0,0
0,shelina zadorsky,300492,0,2,defender,1,5,0,40.4,172.0,0,0,canada,0,0,0,0,0,245,0,26,0,0,0,0,4,0,3,0,0,0,1,3,1,0,0,0,1,0,221,0,0,0,56,0,0,0,0,0,0,3,0,360,1992-10-24 00:00:00,0,0,4,0,0
,shannon woeller,298717,,,defender,,,,,172.0,,,canada,,,,,,,,29,,,,,20,,,,,,0,,,,,,,,,,,,20,,,,,,,,,,1990-01-31 00:00:00,,,,,
,jenna hellstrom,359183,,,defender,,,,,168.0,,,canada,,,,,,,,24,,,,,23,,,,,,0,,,,,,,,,,,,4,,,,,,,,,,1995-04-02 00:00:00,,,,,
,kailen sheridan,359194,,,goalkeeper,,,,,176.0,,,canada,,,,,,,,23,,,,,18,,,,,,0,,,,,,,,,,,,7,,,,,,,,,,1995-07-16 00:00:00,,,,,
,sabrina d angelo,300474,,,goalkeeper,,,,,171.0,,,canada,,,,,,,,26,,,,,21,,,,,,0,,,,,,,,,,,,6,,,,,,,,,,1993-05-11 00:00:00,,,,,
,lindsay agnew,359065,,,defender,,,,,175.0,,,canada,,,,,,,,24,,,,,22,,,,,,0,,,,,,,,,,,,11,,,,,,,,,,1995-03-31 00:00:00,,,,,
